Case ID,Case created on,Days Between Start & Completion,Completion Date,Property Tenure,Source of Person,Fee Earner,Case Worker,Branch,Case Type,Exchange Date,Case Status,Quote Calculator,Referrer Company,Case age (Days),Quill Reference
585884,21/06/2023,302,16/08/2024,Leasehold,,salepostcompletion@leadingpropertylawyers.co.uk,salepostcompletion@leadingpropertylawyers.co.uk,Head Office,Conveyancing - Sale,17/07/2024,Not Closed,Thornley Groves,,426,585884
652026,11/10/2023,222,16/08/2024,Freehold,Direct,Johnathon  Wright,Johnathon  Wright,Head Office,Remortgage,N/A,Not Closed,Main Fees,,314,652026
664713,15/11/2023,197,16/08/2024,Freehold,ULS,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,19/07/2024,Not Closed,E Conveyancer ,ULS,279,664713
666083,20/11/2023,194,16/08/2024,Freehold,Legal Marketing Services,Post Completion Team,salepostcompletion@leadingpropertylawyers.co.uk,Head Office,Conveyancing - Sale,15/08/2024,Not Closed,LMS,LMS,274,666083
686983,02/02/2024,140,16/08/2024,Freehold,Legal Marketing Services,Charley Hutchinson,Charley Hutchinson,Head Office,Conveyancing - Purchase,15/08/2024,Not Closed,LMS,LMS,200,686983
688545,06/02/2024,138,16/08/2024,Freehold,United Legal Services,Post Completion Team,Gina Fryer,Head Office,Conveyancing - Purchase,16/08/2024,Not Closed,BM ,BM,196,688545
688764,07/02/2024,137,16/08/2024,Freehold,Panel: More Financial,Charley Hutchinson,Charley Hutchinson,Head Office,Conveyancing - Sale,16/08/2024,Not Closed,More Financial,More Financial,195,688764
689614,08/02/2024,136,16/08/2024,Freehold,United Legal Services,Timothy Asemota,Timothy Asemota,Head Office,Conveyancing - Purchase,N/A,Not Closed,E Conveyancer ,BM,194,689614
692362,15/02/2024,131,16/08/2024,Freehold,,Post Completion Team,Gina Fryer,Head Office,Conveyancing - Purchase,N/A,Not Closed,Sort Refer,SortRefer,187,692362
693020,19/02/2024,129,16/08/2024,Freehold,Direct,Timothy Asemota,Timothy Asemota,Head Office,Conveyancing - Sale,N/A,Not Closed,LMS,LMS,183,693020
693025,19/02/2024,129,16/08/2024,Freehold,Panel: More Financial,Charley Hutchinson,Charley Hutchinson,Head Office,Conveyancing - Purchase,16/08/2024,Not Closed,More Financial,More Financial,183,693025
693039,19/02/2024,129,16/08/2024,Freehold,Conveyancing Plus ,Charleigh Mollins,Charleigh Mollins,Head Office,Conveyancing - Purchase,15/08/2024,Not Closed,Conveyancer Plus,Conveyancer Plus,183,693039
695059,22/02/2024,126,16/08/2024,Freehold,Legal Marketing Services,Post Completion Team,Support 9,Head Office,Conveyancing - Purchase,16/08/2024,Not Closed,LMS,LMS,180,695059
696895,27/02/2024,123,16/08/2024,Leasehold,,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,16/08/2024,Not Closed,Conveyancer Plus,Conveyancer Plus,175,696895
697750,29/02/2024,121,16/08/2024,Freehold,Movin Legal,Post Completion Team,Support 6,Head Office,Remortgage,N/A,On Hold,Movin Legal,Movin Legal,173,697750
700706,07/03/2024,116,16/08/2024,Leasehold,CP Really Moving,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,13/08/2024,Not Closed,Conveyancer Plus Really Moving,Conveyancer Plus,166,700706
701603,11/03/2024,114,16/08/2024,Freehold,Movin Legal,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,13/08/2024,Not Closed,Movin Legal,Movin Legal,162,701603
711124,18/03/2024,109,16/08/2024,Leasehold,CAL Integration,Post Completion Team,Support 9,Head Office,Conveyancing - Purchase,30/07/2024,On Hold,Conveyancing Alliance,CAL,155,711124
712534,20/03/2024,107,16/08/2024,,CP Really Moving,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,12/08/2024,Not Closed,Conveyancer Plus Really Moving,Conveyancer Plus,153,712534
712840,21/03/2024,106,16/08/2024,Freehold,Legal Marketing Services,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,15/08/2024,Not Closed,LMS,LMS,152,712840
713527,22/03/2024,105,16/08/2024,Freehold,Movin Legal,salepostcompletion@leadingpropertylawyers.co.uk,Post Completion Team,Head Office,Conveyancing - Sale,13/08/2024,Not Closed,Movin Legal,Movin Legal,151,713527
713624,22/03/2024,105,16/08/2024,Freehold,Direct,Timothy Asemota,Timothy Asemota,Head Office,Conveyancing - Purchase,N/A,Not Closed,LMS,LMS,151,713624
714156,25/03/2024,104,16/08/2024,Freehold,ULS,Post Completion Team,salepostcompletion@leadingpropertylawyers.co.uk,Head Office,Conveyancing - Sale,16/08/2024,Not Closed,E Conveyancer ,ULS,148,714156
714164,25/03/2024,104,16/08/2024,Freehold,ULS,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,01/08/2024,Not Closed,E Conveyancer ,ULS,148,714164
714267,26/03/2024,103,16/08/2024,Freehold,ULS,Mark Grundy,Mark Grundy,Head Office,Conveyancing - Purchase,15/08/2024,Not Closed,E Conveyancer ,ULS,147,714267
714380,26/03/2024,103,16/08/2024,Freehold,SortRefer,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,14/08/2024,Not Closed,Sort Refer,SortRefer,147,714380
714381,26/03/2024,103,16/08/2024,Leasehold,,Post Completion Team,salepostcompletion@leadingpropertylawyers.co.uk,Head Office,Conveyancing - Sale,14/08/2024,Not Closed,Sort Refer,SortRefer,147,714381
715116,27/03/2024,102,16/08/2024,Freehold,Conveyancing Plus ,salepostcompletion@leadingpropertylawyers.co.uk,salepostcompletion@leadingpropertylawyers.co.uk,Head Office,Conveyancing - Sale,26/07/2024,Not Closed,Conveyancer Plus,Conveyancer Plus,146,715116
715127,27/03/2024,102,16/08/2024,Freehold,CAL Integration,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,12/08/2024,Not Closed,Conveyancing Alliance,CAL,146,
715437,28/03/2024,101,16/08/2024,Freehold,SortRefer,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,16/08/2024,Not Closed,Sort Refer,SortRefer,145,
715769,28/03/2024,101,16/08/2024,Leasehold,Direct,Post Completion Team,Jason  Smith,Head Office,Conveyancing - Purchase,16/08/2024,Not Closed,Main Fees,,145,
717317,04/04/2024,96,16/08/2024,Leasehold,SortRefer,Post Completion Team,Support 6,Head Office,Remortgage,N/A,On Hold,Sort Refer,SortRefer,138,717317
717736,04/04/2024,96,16/08/2024,Freehold,ULS,Post Completion Team,salepostcompletion@leadingpropertylawyers.co.uk,Head Office,Conveyancing - Sale,14/08/2024,Not Closed,E Conveyancer ,ULS,138,717736
717738,04/04/2024,96,16/08/2024,Freehold,ULS,Post Completion Team,Support 9,Head Office,Conveyancing - Purchase,14/08/2024,Not Closed,E Conveyancer ,ULS,138,717738
717764,04/04/2024,96,16/08/2024,Freehold,Legal Marketing Services,Post Completion Team,Outsource Post Completion,Head Office,Conveyancing - Purchase,07/08/2024,Not Closed,LMS,LMS,138,717764
718078,05/04/2024,95,16/08/2024,Freehold,ULS,Post Completion Team,Archive,Head Office,Conveyancing - Purchase,12/08/2024,Not Closed,E Conveyancer ,ULS,137,718078
718256,05/04/2024,95,16/08/2024,Freehold,Conveyancing Plus ,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,15/08/2024,Not Closed,Conveyancer Plus,Conveyancer Plus,137,718256
