Case ID,Case created on,Days Between Start & Completion,Completion Date,Property Tenure,Source of Person,Fee Earner,Case Worker,Branch,Case Type,Exchange Date,Case Status,Quote Calculator,Referrer Company,Case age (Days)
575382,24/05/2023,202,01/03/2024,Leasehold,CAL Integration,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,19/02/2024,Not Closed,Conveyancing Alliance,CAL,286
577198,30/05/2023,198,01/03/2024,Freehold,Movin Legal,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Movin Legal,Movin Legal,280
579732,06/06/2023,193,01/03/2024,Freehold,ULS,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,20/02/2024,Not Closed,E Conveyancer ,ULS,273
584695,19/06/2023,184,01/03/2024,Freehold,Legal Marketing Services,Charley Hutchinson,Charley Hutchinson,Head Office,Conveyancing - Purchase,29/02/2024,Not Closed,LMS,LMS,260
589393,30/06/2023,175,01/03/2024,Leasehold,CAL Integration,Post Completion Team,salepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Sale,28/02/2024,Not Closed,Conveyancing Alliance,CAL,249
590531,04/07/2023,173,01/03/2024,Leasehold,Thornley Groves,Post Completion Team,salepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Sale,15/02/2024,Not Closed,Thornley Groves (City Centre),Thornley Groves,245
599444,26/07/2023,157,01/03/2024,Leasehold,ULS,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,01/03/2024,Not Closed,E Conveyancer ,ULS,223
604371,09/08/2023,147,01/03/2024,Freehold,Movin Legal,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Movin Legal,Movin Legal,209
617761,17/08/2023,141,01/03/2024,Leasehold,ULS,Post Completion Team,purchasepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Purchase,28/02/2024,Not Closed,E Conveyancer ,ULS,201
617910,17/08/2023,141,01/03/2024,Leasehold,ULS,Post Completion Team,salepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Sale,20/02/2024,Not Closed,E Conveyancer ,ULS,201
618203,17/08/2023,141,01/03/2024,Leasehold,United Legal Services,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,29/02/2024,Not Closed,E Conveyancer ,ULS,201
621785,30/08/2023,132,01/03/2024,Freehold,ULS,Post Completion Team,purchasepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Purchase,15/02/2024,Successfully,E Conveyancer ,ULS,188
622093,31/08/2023,131,01/03/2024,Leasehold,Home Legal Services,Post Completion Team,salepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Sale,N/A,Not Closed,Home Legal Services ,Home Legal Services,187
622998,04/09/2023,129,01/03/2024,Freehold,Legal Marketing Services,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,01/03/2024,Not Closed,LMS,LMS,183
623550,05/09/2023,128,01/03/2024,Freehold,ULS,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,E Conveyancer ,ULS,182
624029,06/09/2023,127,01/03/2024,Leasehold,ULS,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,E Conveyancer ,ULS,181
624648,08/09/2023,125,01/03/2024,Freehold,SortRefer,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Sort Refer,SortRefer,179
625127,11/09/2023,124,01/03/2024,Freehold,TM Connect,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Sequence re-mortgage STANDARD (CDPL Limited) ,Conveyancing Direct Property Law ,176
625717,12/09/2023,123,01/03/2024,Freehold,ULS,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,E Conveyancer ,ULS,175
625860,12/09/2023,123,01/03/2024,Freehold,My Legal Club Non Members,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,My Legal Club Non Members,My Legal Club Non Members,175
626273,13/09/2023,122,01/03/2024,Freehold,ULS,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,20/02/2024,Not Closed,E Conveyancer ,ULS,174
626832,15/09/2023,120,01/03/2024,Freehold,SortRefer,Post Completion Team,salepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Sale,29/02/2024,Not Closed,Sort Refer,SortRefer,172
627107,15/09/2023,120,01/03/2024,Freehold,ULS,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,E Conveyancer ,ULS,172
627618,18/09/2023,119,01/03/2024,Freehold,ULS,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,E Conveyancer ,ULS,169
627650,18/09/2023,119,01/03/2024,Freehold,Skipton Building Society,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Conveyancing Direct Property Lawyers (Skipton),Skipton Building Society,169
627962,19/09/2023,118,01/03/2024,Leasehold,CP Really Moving,Michael  Collins,Michael  Collins,Head Office,Conveyancing - Sale,23/02/2024,Not Closed,Best Quote Mortgages and Loans,,168
628690,20/09/2023,117,01/03/2024,Freehold,Skipton Building Society,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Conveyancing Direct Property Lawyers (Skipton),Skipton Building Society,167
628914,21/09/2023,116,01/03/2024,Leasehold,ULS,Post Completion Team,purchasepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Purchase,N/A,Not Closed,E Conveyancer ,ULS,166
629144,21/09/2023,116,01/03/2024,Freehold,Direct,Post Completion Team,salepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Sale,23/02/2024,Not Closed,Main Fees,,166
629944,25/09/2023,114,01/03/2024,Leasehold,ULS,Post Completion Team,Gina Fryer,Head Office,Conveyancing - Purchase,27/02/2024,Not Closed,E Conveyancer ,ULS,162
630521,26/09/2023,113,01/03/2024,Leasehold,Conveyancing Plus ,Post Completion Team,purchasepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Purchase,29/02/2024,Successfully,Conveyancer Plus,CP Really Moving,161
631317,28/09/2023,111,01/03/2024,Leasehold,Broker Conveyancing ,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,26/02/2024,Not Closed,Conveyancing Alliance,CAL,159
631784,29/09/2023,110,01/03/2024,Freehold,Skipton,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Conveyancing Direct Property Lawyers (Skipton),Skipton Building Society,158
