Case ID,Case created on,Days Between Start & Completion,Completion Date,Property Tenure,Source of Person,Fee Earner,Case Worker,Branch,Case Type,Exchange Date,Case Status,Quote Calculator,Referrer Company,Case age (Days)
584203,16/06/2023,193,13/03/2024,Freehold,,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Conveyancing Direct Property Lawyers (Skipton),Skipton Building Society,273
584854,19/06/2023,192,13/03/2024,Leasehold,Thornley Groves,George  Bokuchava,Krisella Lyons,Head Office,Conveyancing - Sale,13/03/2024,Not Closed,Thornley Groves (City Centre),Thornley Groves,270
596322,18/07/2023,171,13/03/2024,Leasehold,SortRefer,Post Completion Team,Support 6,Head Office,Conveyancing - Purchase,13/03/2024,On Hold,Sort Refer,SortRefer,241
602878,04/08/2023,158,13/03/2024,Leasehold,BM,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,13/03/2024,Not Closed,BM ,BM,224
625995,13/09/2023,130,13/03/2024,Freehold,ULS,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,12/03/2024,Not Closed,E Conveyancer ,ULS,184
629334,22/09/2023,123,13/03/2024,Leasehold,United Legal Services,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,N/A,Not Closed,E Conveyancer ,BM,175
648177,02/10/2023,117,13/03/2024,Leasehold,ULS,Susan Burrell,Susan Burrell,Head Office,Remortgage,N/A,Not Closed,E Conveyancer ,ULS,165
661546,07/11/2023,91,13/03/2024,Freehold,TM Connect,Post Completion Team,support9@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,On Hold,Sequence re-mortgage STANDARD (CDPL Limited) ,Conveyancing Direct Property Law ,129
662424,09/11/2023,89,13/03/2024,Leasehold,Direct,Amy  Sutton,Amy  Sutton,Head Office,Conveyancing - Purchase,13/03/2024,Not Closed,Main Fees,,127
667024,22/11/2023,80,13/03/2024,Freehold,CAL Integration,Danielle Baxter,Danielle Baxter,Head Office,Conveyancing - Purchase,11/03/2024,Not Closed,Conveyancing Alliance,CAL,114
672227,08/12/2023,68,13/03/2024,Freehold,SortRefer,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,13/03/2024,Not Closed,Sort Refer,SortRefer,98
674750,19/12/2023,61,13/03/2024,Leasehold,Conveyancing Calculator Plugin,Post Completion Team,salepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Sale,12/03/2024,Not Closed,Main Fees,,87
682680,22/01/2024,37,13/03/2024,Leasehold,ULS,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,E Conveyancer ,ULS,53
684397,26/01/2024,33,13/03/2024,Freehold,SortRefer,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Sort Refer,SortRefer,49
692511,16/02/2024,18,13/03/2024,Freehold,Movin Legal,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Movin Legal,Movin Legal,28
