Case ID,Case created on,Days Between Start & Completion,Completion Date,Property Tenure,Source of Person,Fee Earner,Case Worker,Branch,Case Type,Exchange Date,Case Status,Quote Calculator,Referrer Company,Case age (Days),Quill Reference
622817,04/09/2023,232,24/07/2024,Leasehold,Legal Marketing Services,Post Completion Team,Support 6,Head Office,Remortgage,N/A,Not Closed,LMS,LMS,326,622817
685744,30/01/2024,126,24/07/2024,Freehold,ULS,Ronika  Orr,Ronika  Orr,Head Office,Conveyancing - Sale,22/07/2024,Not Closed,E Conveyancer ,ULS,178,685744
687926,05/02/2024,122,24/07/2024,Freehold,Legal Marketing Services,Dane  Hughes,Dane  Hughes,Head Office,Conveyancing - Purchase,24/07/2024,Not Closed,LMS,LMS,172,687926
695408,23/02/2024,108,24/07/2024,Freehold,Legal Marketing Services,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,22/07/2024,Not Closed,LMS,LMS,154,695408
700543,07/03/2024,99,24/07/2024,Leasehold,CAL Integration,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,24/07/2024,Not Closed,Conveyancing Alliance,CAL,141,700543
702395,12/03/2024,96,24/07/2024,Freehold,Legal Marketing Services,Nicolas Foy,Nicolas Foy,Head Office,Conveyancing - Sale,11/07/2024,Not Closed,LMS,LMS,136,702395
714016,25/03/2024,87,24/07/2024,Freehold,ULS,Post Completion Team,salepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Sale,22/07/2024,Not Closed,E Conveyancer ,ULS,123,714016
714023,25/03/2024,87,24/07/2024,Freehold,ULS,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,22/07/2024,Not Closed,E Conveyancer ,ULS,123,714023
714793,27/03/2024,85,24/07/2024,Leasehold,ULS,Nicolas Foy,Nicolas Foy,Head Office,Conveyancing - Purchase,12/07/2024,Not Closed,E Conveyancer ,,121,714793
718234,05/04/2024,78,24/07/2024,Freehold,ULS,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,17/07/2024,Not Closed,E Conveyancer ,ULS,112,
722400,16/04/2024,71,24/07/2024,Freehold,CAL Integration,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Conveyancing Alliance,CAL,101,722400
723752,18/04/2024,69,24/07/2024,Freehold,ULS,Morgan Dalton,Morgan Dalton,Head Office,Conveyancing - Purchase,22/07/2024,Not Closed,E Conveyancer ,ULS,99,723752
730586,24/04/2024,65,24/07/2024,Freehold,ULS,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,16/07/2024,Not Closed,E Conveyancer ,ULS,93,
731991,29/04/2024,62,24/07/2024,Freehold,Conveyancing Plus ,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,22/07/2024,Not Closed,Conveyancer Plus,Conveyancer Plus,88,731991
755309,14/05/2024,51,24/07/2024,Freehold,CAL Integration,Post Completion Team,Support 3,Head Office,Remortgage,N/A,On Hold,Conveyancing Alliance,CAL,73,755309
756005,15/05/2024,50,24/07/2024,Freehold,Movin Legal,Post Completion Team,Support 3,Head Office,Remortgage,N/A,On Hold,Movin Legal,Movin Legal,72,756005
757298,18/05/2024,47,24/07/2024,Freehold,CAL Integration,Post Completion Team,Support 3,Head Office,Remortgage,N/A,On Hold,Conveyancing Alliance,CAL,69,757298
760055,24/05/2024,43,24/07/2024,Freehold,CAL Integration,Susan Burrell,Susan Burrell,Head Office,Remortgage,N/A,Not Closed,Conveyancing Alliance,CAL,63,760055
760594,28/05/2024,41,24/07/2024,Freehold,CAL Integration,Post Completion Team,Support 3,Head Office,Remortgage,N/A,On Hold,Conveyancing Alliance,CAL,59,760594
