Case ID,Case created on,Days Between Start & Completion,Completion Date,Property Tenure,Source of Person,Fee Earner,Case Worker,Branch,Case Type,Exchange Date,Case Status,Quote Calculator,Referrer Company,Case age (Days)
657181,25/10/2023,164,11/06/2024,Freehold,Legal Marketing Services,Post Completion Team,Jason  Smith,Head Office,Conveyancing - Purchase,10/06/2024,Not Closed,LMS,LMS,232
665056,16/11/2023,148,11/06/2024,Freehold,,Post Completion Team,purchasepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Purchase,05/06/2024,Not Closed,Movin Legal,Movin Legal,210
672064,08/12/2023,132,11/06/2024,Freehold,ULS,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,E Conveyancer ,ULS,188
672641,11/12/2023,131,11/06/2024,Freehold,,Sonia Bains,Sonia Bains,Head Office,Conveyancing - Purchase,05/06/2024,Not Closed,Movin Legal,Movin Legal,185
678162,09/01/2024,110,11/06/2024,Freehold,ULS,salepostcompletion@lpropertylawyers.co.uk,salepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Sale,11/06/2024,Not Closed,E Conveyancer ,ULS,156
682140,19/01/2024,102,11/06/2024,Freehold,ULS,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,E Conveyancer ,ULS,146
682557,22/01/2024,101,11/06/2024,Freehold,CP Really Moving,Danielle Baxter,Danielle Baxter,Head Office,Conveyancing - Sale,06/06/2024,Not Closed,Conveyancer Plus Really Moving,Conveyancer Plus,143
682560,22/01/2024,101,11/06/2024,Freehold,CP Really Moving,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,06/06/2024,Not Closed,Conveyancer Plus Really Moving,Conveyancer Plus,143
685779,30/01/2024,95,11/06/2024,Leasehold,Legal Marketing Services,Post Completion Team,Janet Slattery,Head Office,Conveyancing - Purchase,N/A,Not Closed,LMS,LMS,135
687000,02/02/2024,92,11/06/2024,Freehold,Legal Marketing Services,Soh Sohail,Soh Sohail,Head Office,Conveyancing - Purchase,10/06/2024,Not Closed,LMS,LMS,132
695598,23/02/2024,77,11/06/2024,Leasehold,ULS,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,E Conveyancer ,ULS,111
696618,27/02/2024,75,11/06/2024,Freehold,SortRefer,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,10/06/2024,Not Closed,Sort Refer,SortRefer,107
700653,07/03/2024,68,11/06/2024,Freehold,Conveyancing Calculator Plugin,Timothy Asemota,Timothy Asemota,Head Office,Conveyancing - Purchase,11/06/2024,Not Closed,Main Fees,,98
711178,18/03/2024,61,11/06/2024,Freehold,Legal Marketing Services,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,LMS,LMS,87
714421,26/03/2024,55,11/06/2024,Leasehold,Movin Legal,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Movin Legal,Movin Legal,79
723231,17/04/2024,39,11/06/2024,Freehold,Thornley Groves,salepostcompletion@lpropertylawyers.co.uk,salepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Sale,11/06/2024,Not Closed,Thornley Groves (Swinton),Thornley Groves Swinton,57
730194,24/04/2024,34,11/06/2024,Freehold,Movin Legal,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Movin Legal,Movin Legal,50
