Case ID,Case created on,Days Between Start & Completion,Completion Date,Source of Person,Fee Earner,Case Worker,Branch,Case Type,Exchange Date,Case Status,Quote Calculator,Referrer Company
399998,15-03-2022,416,18-10-2023,SortRefer,Post Completion Team,purchasepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Purchase,18-10-2023,Not Closed,Sort Refer,SortRefer
571848,15-05-2023,112,18-10-2023,SortRefer,Luke  Warrior,Luke  Warrior,Head Office,Conveyancing - Sale,13-10-2023,Not Closed,Sort Refer,SortRefer
578171,01-06-2023,99,18-10-2023,ULS,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,16-10-2023,Not Closed,E Conveyancer ,ULS
580058,06-06-2023,96,18-10-2023,ULS,Post Completion Team,Ramya Wijewardana,Head Office,Conveyancing - Purchase,18-10-2023,Not Closed,E Conveyancer ,ULS
580607,07-06-2023,95,18-10-2023,Movin Legal,Post Completion Team,Samantha Williams,Head Office,Conveyancing - Purchase,N/A,Not Closed,Movin Legal,Movin Legal
586476,22-06-2023,84,18-10-2023,ULS,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,E Conveyancer ,ULS
588548,28-06-2023,80,18-10-2023,Legal Marketing Services,Post Completion Team,Support 6,Head Office,Conveyancing - Purchase,15-09-2023,Not Closed,LMS,LMS
593145,11-07-2023,71,18-10-2023,CAL Integration,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Conveyancing Alliance,CAL
602760,04-08-2023,53,18-10-2023,SortRefer,Post Completion Team,Ramya Wijewardana,Head Office,Conveyancing - Purchase,17-10-2023,Not Closed,Sort Refer,SortRefer
603550,08-08-2023,51,18-10-2023,ULS,Post Completion Team,salepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Sale,13-10-2023,Not Closed,E Conveyancer ,ULS
619096,21-08-2023,42,18-10-2023,United Legal Services,Amy  Sutton,Amy  Sutton,Head Office,Conveyancing - Purchase,17-10-2023,Not Closed,BM ,BM
619757,23-08-2023,40,18-10-2023,E-Conveyancer,Charlene  Hickman,Charlene  Hickman,Head Office,Remortgage,N/A,Not Closed,E Conveyancer ,ULS
619763,23-08-2023,40,18-10-2023,E-Conveyancer,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,E Conveyancer ,ULS
620841,25-08-2023,38,18-10-2023,Movin Legal,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Movin Legal,Movin Legal
628846,21-09-2023,19,18-10-2023,CAL Integration,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Conveyancing Alliance,CAL
631632,28-09-2023,14,18-10-2023,ULS,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,E Conveyancer ,ULS
