Case ID,Case created on,Days Between Start & Completion,Completion Date,Property Tenure,Source of Person,Fee Earner,Case Worker,Branch,Case Type,Exchange Date,Case Status,Quote Calculator,Referrer Company,Case age (Days),Quill Reference
677572,05/01/2024,153,07/08/2024,Freehold,Conveyancing Plus ,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,07/08/2024,Not Closed,Conveyancer Plus,Conveyancer Plus,217,677572
684319,26/01/2024,138,07/08/2024,Leasehold,CP Really Moving,Post Completion Team,Gina Fryer,Head Office,Conveyancing - Purchase,02/08/2024,Not Closed,Conveyancer Plus Really Moving,Conveyancer Plus,196,684319
686971,02/02/2024,133,07/08/2024,Freehold,Conveyancing Plus ,Timothy Asemota,Timothy Asemota,Head Office,Conveyancing - Purchase,N/A,Not Closed,Conveyancer Plus,Conveyancer Plus,189,686971
690903,13/02/2024,126,07/08/2024,Leasehold,Conveyancing Calculator Plugin,Sonia Bains,Sonia Bains,Head Office,Conveyancing - Purchase,07/08/2024,Not Closed,Main Fees,,178,690903
693980,20/02/2024,121,07/08/2024,Freehold,CAL Integration,Post Completion Team,remopostcompletion@leadingpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Conveyancing Alliance,CAL,171,693980
700466,07/03/2024,109,07/08/2024,Leasehold,Direct,Post Completion Team,Gina Fryer,Head Office,Conveyancing - Purchase,01/08/2024,Not Closed,Main Fees,,155,700466
711373,18/03/2024,102,07/08/2024,Leasehold,,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,06/08/2024,Not Closed,Conveyancer Plus Really Moving,Conveyancer Plus,144,711373
712352,20/03/2024,100,07/08/2024,Freehold,SortRefer,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,07/08/2024,Not Closed,Sort Refer,SortRefer,142,712352
714166,25/03/2024,97,07/08/2024,Leasehold,ULS,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,07/08/2024,Not Closed,E Conveyancer ,ULS,137,714166
716286,02/04/2024,91,07/08/2024,Freehold,,Charlotte Vining,Charlotte Vining,Head Office,Conveyancing - Purchase,N/A,Not Closed,LMS,LMS,129,716286
716644,03/04/2024,90,07/08/2024,Freehold,ULS,Soh Sohail,Soh Sohail,Head Office,Conveyancing - Purchase,05/08/2024,Not Closed,E Conveyancer ,ULS,128,716644
719313,09/04/2024,86,07/08/2024,Leasehold,Legal Marketing Services,Post Completion Team,remopostcompletion@leadingpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,LMS,LMS,122,719313
719385,09/04/2024,86,07/08/2024,Freehold,Direct,Post Completion Team,Jason  Smith,Head Office,Conveyancing - Purchase,N/A,Not Closed,Main Fees,,122,719385
723388,18/04/2024,79,07/08/2024,Leasehold,ULS,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,25/07/2024,Not Closed,E Conveyancer ,ULS,113,
724010,19/04/2024,78,07/08/2024,Freehold,SortRefer,Post Completion Team,Support 6,Head Office,Remortgage,N/A,On Hold,Sort Refer,SortRefer,112,724010
730589,24/04/2024,75,07/08/2024,Freehold,SortRefer,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,07/08/2024,Not Closed,Sort Refer,SortRefer,107,730589
730683,24/04/2024,75,07/08/2024,Freehold,Value Conveyancer One,Amy  Sutton,Amy  Sutton,Head Office,Conveyancing - Purchase,06/08/2024,Not Closed,Value Conveyancer One,Value Conveyancer,107,
731475,26/04/2024,73,07/08/2024,Freehold,SortRefer,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,06/08/2024,Not Closed,Sort Refer,SortRefer,105,731475
733234,01/05/2024,70,07/08/2024,Freehold,Pinkerton Financial Services,Post Completion Team,Support 6,Head Office,Remortgage,N/A,Not Closed,Pinkerton Financial Services,Pinkerton,100,
754141,10/05/2024,63,07/08/2024,Freehold,CAL Integration,Post Completion Team,remopostcompletion@leadingpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Conveyancing Alliance,CAL,91,754141
766793,11/06/2024,41,07/08/2024,Leasehold,Legal Marketing Services,Simona Ralyte,Simona Ralyte,Head Office,Conveyancing - Purchase,06/08/2024,Not Closed,LMS,LMS,59,766793
767193,12/06/2024,40,07/08/2024,Leasehold,SortRefer,Post Completion Team,Support 3,Head Office,Remortgage,N/A,Not Closed,Sort Refer,SortRefer,58,767193
843299,03/07/2024,25,07/08/2024,Freehold,Movin Legal,Post Completion Team,Support 3,Head Office,Remortgage,N/A,On Hold,Movin Legal,Movin Legal,37,843299
853877,19/07/2024,13,07/08/2024,Freehold,Movin Legal,Post Completion Team,Support 3,Head Office,Remortgage,N/A,On Hold,Movin Legal,Movin Legal,21,853877
