Case ID,Case created on,Days Between Start & Completion,Completion Date,Property Tenure,Source of Person,Fee Earner,Case Worker,Branch,Case Type,Exchange Date,Case Status,Quote Calculator,Referrer Company,Case age (Days)
630681,26/09/2023,182,06/06/2024,Leasehold,Legal Marketing Services,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,06/06/2024,Not Closed,LMS,LMS,258
661742,08/11/2023,151,06/06/2024,Freehold,ULS,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,E Conveyancer ,ULS,215
662431,09/11/2023,150,06/06/2024,Freehold,Movin Legal,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Movin Legal,Movin Legal,214
672006,07/12/2023,130,06/06/2024,Freehold,United Legal Services,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,06/06/2024,Not Closed,BM ,BM,186
674013,15/12/2023,124,06/06/2024,Freehold,CP Really Moving,Simona Ralyte,Simona Ralyte,Head Office,Conveyancing - Purchase,N/A,Not Closed,Conveyancer Plus,CP Really Moving,178
674014,15/12/2023,124,06/06/2024,Leasehold,CP Really Moving,Simona Ralyte,Simona Ralyte,Head Office,Conveyancing - Sale,N/A,Not Closed,Conveyancer Plus,CP Really Moving,178
675546,21/12/2023,120,06/06/2024,Freehold,ULS,Charley Hutchinson,Charley Hutchinson,Head Office,Conveyancing - Purchase,05/06/2024,Not Closed,E Conveyancer ,ULS,172
679968,15/01/2024,103,06/06/2024,Freehold,Legal Marketing Services,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,06/06/2024,Not Closed,LMS,LMS,147
687103,02/02/2024,89,06/06/2024,Freehold,ULS,Completion Pack,salepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Sale,03/06/2024,Not Closed,E Conveyancer ,ULS,129
688663,07/02/2024,86,06/06/2024,Leasehold,United Legal Services,Post Completion Team,Angela Hall,Head Office,Conveyancing - Purchase,31/05/2024,Not Closed,BM ,BM,124
688838,07/02/2024,86,06/06/2024,Freehold,Legal Marketing Services,Post Completion Team,salepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Sale,03/06/2024,Not Closed,LMS,LMS,124
692983,19/02/2024,78,06/06/2024,Freehold,Legal Marketing Services,Post Completion Team,salepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Sale,06/06/2024,Not Closed,LMS,LMS,112
696038,26/02/2024,73,06/06/2024,Freehold,ULS,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,06/06/2024,Not Closed,E Conveyancer ,ULS,105
696598,27/02/2024,72,06/06/2024,Freehold,ULS,Timothy Asemota,Timothy Asemota,Head Office,Conveyancing - Purchase,05/06/2024,Not Closed,E Conveyancer ,ULS,104
697958,29/02/2024,70,06/06/2024,Freehold,Conveyancing Calculator Plugin,Post Completion Team,Support 6,Head Office,Conveyancing - Purchase,03/06/2024,Not Closed,Main Fees,,102
699875,06/03/2024,66,06/06/2024,Freehold,Legal Marketing Services,Post Completion Team,Angela Hall,Head Office,Conveyancing - Purchase,03/06/2024,Not Closed,LMS,LMS,96
712494,20/03/2024,56,06/06/2024,Leasehold,Direct,Daniel Gardner,Daniel Gardner,Head Office,Remortgage,N/A,Not Closed,Main Fees,,82
713100,21/03/2024,55,06/06/2024,Leasehold,SortRefer,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Sort Refer,SortRefer,81
714954,27/03/2024,51,06/06/2024,Freehold,TM CONNECT,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Sequence re-mortgage STANDARD (CDPL Limited) ,Conveyancing Direct Property Law ,75
718309,05/04/2024,44,06/06/2024,Freehold,SortRefer,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,06/06/2024,Not Closed,Sort Refer,SortRefer,66
718323,05/04/2024,44,06/06/2024,Freehold,CAL Integration,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Conveyancing Alliance,CAL,66
718945,08/04/2024,43,06/06/2024,Leasehold,CP Really Moving,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Conveyancer Plus Really Moving,Conveyancer Plus,63
721270,12/04/2024,39,06/06/2024,Freehold,Movin Legal,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Movin Legal,Movin Legal,59
732020,29/04/2024,28,06/06/2024,Freehold,ULS,Michael  Collins,Michael  Collins,Head Office,Remortgage,N/A,Not Closed,E Conveyancer ,ULS,42
